ISIN,GAIN
INE070C20011,0.3658536585365854
INE070C20011,0.23076923076923078
INE148I07LX8,0.22669283611383703
INE309M01012,0.21787093215664644
INE471W01019,0.2160041841004185
INE791A01024,0.213917525773196
INE562X01013,0.21217948717948715
INE226H01026,0.2110091743119265
INE128S01021,0.20777337329594905
INE439E01022,0.2058823529411766
INE655A01013,0.2051724137931034
INE188A01015,0.20225624496373895
INE623A01011,0.20083682008368206
INE414A01015,0.2004889975550123
INE965H01011,0.20000000000000004
INE688J01023,0.19999999999999996
INE558R01013,0.19936204146730463
INE864K01010,0.19901547116737
INE900B01029,0.1964823515239128
INE695B01025,0.1951219512195124
INE306A01021,0.19469026548672558
INE684Z01010,0.19387755102040802
INE497D01022,0.19200000000000003
INE385I01010,0.19014084507042245
INE102A01024,0.18918918918918917
