ISIN,GAIN
INF109KC1NT3,0.0893515506397744
INE00KV01022,0.053763440860215055
INE0LCW01017,0.05227272727272721
INE436A01026,0.050000000000000044
INE013801027,0.0497382198952881
INE802W01023,0.049706699598641456
INE788H01017,0.04907975460122692
INE452O01016,0.04901960784313726
INE970N01027,0.04772727272727276
INE0G1D01014,0.04756097560975617
INE0KTW01013,0.04756097560975617
INE082W01014,0.04742268041237108
INE901X01013,0.0449172576832151
INE543V01017,0.04461279461279459
INE831Q01016,0.041666666666666706
INE240C01028,0.04098360655737705
INE840Y01029,0.036516853932584185
INE0GN101014,0.03622577927548439
INE722J01012,0.03617571059431521
INE02WG01016,0.03589470885402818
INE219Y01018,0.03492063492063474
INE020B07GH7,0.03387125527381395
INE518E01015,0.03339546442994719
INE935Q01015,0.032629558541266715
INE0MOT01016,0.03089887640449442
