ISIN,GAIN
INE102A01024,0.18918918918918917
INE524L01026,0.17391304347826075
INF109KC17L8,0.16914285714285718
INE924H01018,0.15665024630541877
INE00KV01022,0.1469534050179212
INE144D01012,0.13926174496644303
INE474E01029,0.13675213675213688
INE060901019,0.1264988009592326
INE059B01024,0.11574074074074074
INE262Z01015,0.10359408033826652
INE858B01029,0.10095338983050843
INE586B01026,0.10004928536224733
INE655A01013,0.09797822706065322
INE170V01027,0.09612403100775198
INE075Z01011,0.09243697478991594
INE498A01018,0.09122807017543856
INE209B01025,0.09010339734121114
INE0JOO01013,0.08930097419244573
INE200M01013,0.08579496090356212
INE0BJS01011,0.08482697426796798
INE031A01017,0.08443540183112917
INE304A01026,0.08313194780086992
INE732S01012,0.08059999999999991
INE161G01027,0.08018867924528299
IN9256H01013,0.07988485066570726
